DateTime,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLUME_AHT,AMOUNT_AHT,AMT,CHG,PCT_CHG,SWING,VWAP
2016-06-23,3129.7207,3129.7207,3102.4811,3117.3168,6775173800,NaN,NaN,81732552159,-16.6443,-0.531095,0.869175,12.063536
2016-06-24,3110.6465,3130.5391,3033.9651,3077.1554,10479220800,NaN,NaN,1.19E+11,-40.1614,-1.288332,3.097985,11.352699
2016-06-27,3065.128,3120.6405,3064.9664,3120.5443,8326725900,NaN,NaN,1.04E+11,43.3889,1.410033,1.809272,12.497839
2016-06-28,3107.3979,3139.4301,3099.7012,3136.4013,9202463700,NaN,NaN,1.17E+11,15.857,0.508149,1.27314,12.73548
2016-06-29,3142.4842,3158.0762,3139.1325,3151.3898,10372366800,NaN,NaN,1.18E+11,14.9885,0.477888,0.603995,11.372415
2016-06-30,3152.8331,3163.7205,3148.1987,3153.921,7969261700,NaN,NaN,1.01E+11,2.5312,0.08032,0.492538,12.627006
2016-07-01,3156.932,3170.2583,3148.2948,3154.2003,7174628300,NaN,NaN,91215027688,0.2793,0.008856,0.696387,12.713554
2016-07-04,3136.3852,3210.6016,3134.0233,3204.6962,13331052900,NaN,NaN,1.50E+11,50.4959,1.60091,2.42782,11.244032
2016-07-05,3199.1572,3216.7029,3197.9956,3207.3827,13022689500,NaN,NaN,1.44E+11,2.6865,0.08383,0.583746,11.049876
2016-07-06,3197.6249,3217.5158,3183.4511,3216.8035,12489745800,NaN,NaN,1.47E+11,9.4208,0.293722,1.062072,11.788268
2016-07-07,3206.5507,3220.5404,3190.1235,3209.9542,11859520200,NaN,NaN,1.40E+11,-6.8493,-0.212923,0.945563,11.846081
2016-07-08,3199.7542,3204.9283,3183.9594,3192.2804,8973485500,NaN,NaN,1.11E+11,-17.6738,-0.550594,0.653246,12.376848
2016-07-11,3199.0383,3235.9623,3197.6255,3203.3298,13852951100,NaN,NaN,1.55E+11,11.0494,0.346129,1.200922,11.209752
